instrument_name,strike_price,side,bid/ask,margin_required,premium_earned
NSE_FO|48153,26650.0,CE,9.2,77312.6,459.99999999999994
NSE_FO|48162,26700.0,CE,8.75,76462.92,437.5
NSE_FO|48164,26750.0,CE,12.95,75303.03,647.5
NSE_FO|48166,26800.0,CE,9.0,74799.03,450.0
NSE_FO|48168,26850.0,CE,9.0,73619.92,450.0
NSE_FO|48173,26900.0,CE,8.5,73098.28,425.0
NSE_FO|48175,26950.0,CE,8.25,72316.9,412.5
NSE_FO|48180,27000.0,CE,8.15,71499.75,407.5
NSE_FO|48184,27050.0,CE,11.0,70303.85,550.0
NSE_FO|48196,27100.0,CE,10.5,69485.28,525.0
NSE_FO|48199,27150.0,CE,11.5,68669.08,575.0
NSE_FO|48203,27200.0,CE,8.4,67859.2,420.0
NSE_FO|48206,27250.0,CE,11.9,67053.53,595.0
NSE_FO|48208,27300.0,CE,8.05,66643.67,402.50000000000006
NSE_FO|48210,27350.0,CE,7.95,65458.4,397.5
NSE_FO|48215,27400.0,CE,7.7,64670.35,385.0
NSE_FO|48219,27450.0,CE,9.9,63893.55,495.0
NSE_FO|48221,27500.0,CE,6.1,63412.45,305.0
NSE_FO|48223,27550.0,CE,9.9,62348.2,495.0
NSE_FO|48225,27600.0,CE,9.5,61586.1,475.0
NSE_FO|48231,27650.0,CE,8.9,60837.03,445.0
NSE_FO|48233,27700.0,CE,8.75,60340.78,437.5
NSE_FO|48235,27750.0,CE,7.4,59355.45,370.0
NSE_FO|48237,27800.0,CE,5.45,58901.85,272.5
NSE_FO|48240,27850.0,CE,7.7,57911.28,385.0
NSE_FO|48247,27900.0,CE,4.75,57435.58,237.5
NSE_FO|48268,27950.0,CE,5.15,56753.75,257.5
