instrument_name,strike_price,side,bid/ask,margin_required,premium_earned
NSE_FO|48163,26700.0,PE,2269.3,126504.93,56732.50000000001
NSE_FO|48165,26750.0,PE,2343.75,128434.88,58593.75
NSE_FO|48167,26800.0,PE,2352.3,129041.68,58807.50000000001
NSE_FO|48169,26850.0,PE,2405.1,130026.85,60127.5
NSE_FO|48174,26900.0,PE,2481.8,131604.43,62045.00000000001
NSE_FO|48179,26950.0,PE,2430.3,132888.78,60757.50000000001
NSE_FO|48181,27000.0,PE,2598.3,135086.9,64957.50000000001
NSE_FO|48185,27050.0,PE,2370.3,134545.45,59257.50000000001
NSE_FO|48198,27100.0,PE,2617.75,136736.68,65443.75
NSE_FO|48200,27150.0,PE,2661.65,137494.33,66541.25
NSE_FO|48205,27200.0,PE,2712.6,139279.08,67815.0
NSE_FO|48207,27250.0,PE,2762.35,139129.93,69058.75
NSE_FO|48209,27300.0,PE,2807.7,141807.65,70192.5
NSE_FO|48214,27350.0,PE,2859.75,141628.93,71493.75
NSE_FO|48218,27400.0,PE,2909.1,144382.93,72727.5
NSE_FO|48220,27450.0,PE,2957.05,144670.58,73926.25
NSE_FO|48222,27500.0,PE,3087.35,147684.43,77183.75
NSE_FO|48224,27550.0,PE,3054.35,147202.53,76358.75
NSE_FO|48226,27600.0,PE,3098.75,149479.18,77468.75
NSE_FO|48232,27650.0,PE,3151.7,149114.18,78792.5
NSE_FO|48234,27700.0,PE,3196.05,151976.28,79901.25
NSE_FO|48236,27750.0,PE,3249.25,151607.68,81231.25
NSE_FO|48238,27800.0,PE,3294.5,154558.68,82362.5
NSE_FO|48241,27850.0,PE,3342.0,155809.68,83550.0
NSE_FO|48249,27900.0,PE,3389.4,157045.3,84735.0
NSE_FO|48277,27950.0,PE,3439.2,158354.93,85980.0
